bucket	writing_role	priority	year	venue	title	authors	primary_link	why_relevant_cn	thesis_use_cn	notes
problem-framing-and-critiques	problem	P0	2018	EMNLP	HotpotQA: A Dataset for Diverse, Explainable Multi-hop Question Answering	Zhilin Yang et al.	https://aclanthology.org/D18-1259/	提出带 supporting facts 标注的多跳问答基准，系统定义了跨文档证据聚合与可解释评测。	定义问题	collection=main; anchor paper; fullwiki+distractor
problem-framing-and-critiques	problem	P0	2020	COLING	Constructing A Multi-hop QA Dataset for Comprehensive Evaluation of Reasoning Steps	Xanh Ho et al.	https://aclanthology.org/2020.coling-main.580/	提出 2WikiMultiHopQA，并显式标注 reasoning path 以减少伪多跳样本。	定义问题	collection=main; anchor paper; 2WikiMultiHopQA
problem-framing-and-critiques	problem	P0	2022	TACL	MuSiQue: Multihop Questions via Single-hop Question Composition	Sewon Min et al.	https://direct.mit.edu/tacl/article/doi/10.1162/tacl_a_00475/110996	通过单跳问题组合和过滤构造更难作弊的多跳基准，强调真正的组合式推理。	定义问题	collection=main; anchor paper; compositional benchmark
problem-framing-and-critiques	problem	P0	2019	ACL	Compositional Questions Do Not Necessitate Multi-hop Reasoning	Sewon Min et al.	https://aclanthology.org/P19-1416/	指出很多看似多跳的问题可以被单跳捷径解决，迫使研究者重新关注证据与检索而非表面组合性。	定义问题	collection=main; anchor critique; shortcut risk
problem-framing-and-critiques	problem	P1	2020	EMNLP	IIRC: A Dataset of Incomplete Information Reading Comprehension Questions	James Ferguson et al.	https://aclanthology.org/2020.emnlp-main.86/	构造“当前段落信息不完整、必须跳到链接文档补足”的阅读理解基准。	证明自然链接价值	collection=main; linked-doc setting
problem-framing-and-critiques	problem	P1	2022	arXiv	Multi-Hop Question Answering	Vaibhav Mavi et al.	https://arxiv.org/abs/2204.09140	系统综述多跳问答的定义、数据集、方法家族和评测陷阱。	定义问题	collection=main; survey
dense-and-path-selection-baselines	baseline	P0	2020	ICLR	Learning to Retrieve Reasoning Paths over Wikipedia Graph for Question Answering	Akari Asai et al.	https://openreview.net/forum?id=SJgVHkrYDH	把 Wikipedia 视作图并学习 reasoning path retriever，在查询时顺序选取路径上的页面。	设定基线	collection=main; anchor baseline; graph path retrieval
dense-and-path-selection-baselines	baseline	P0	2021	ICLR	Answering Complex Open-Domain Questions with Multi-Hop Dense Retrieval	Wenhan Xiong et al.	https://openreview.net/forum?id=EMHoBG0avc1	提出 MDR，用多跳 dense retrieval 在无显式链接信息时高效找到支持文档。	设定基线	collection=main; anchor baseline; dense multi-hop
dense-and-path-selection-baselines	baseline	P1	2021	AAAI	HopRetriever: Retrieve Hops over Wikipedia to Answer Complex Questions	Shaobo Li et al.	https://doi.org/10.1609/AAAI.V35I15.17568	显式建模 hop 序列，逐跳扩展证据集合并控制多跳检索过程。	设定基线	collection=main; anchor baseline; hop-level retrieval
dense-and-path-selection-baselines	baseline	P0	2021	SIGIR	Answering Any-hop Open-domain Questions with Iterative Document Reranking	Ping Nie et al.	https://doi.org/10.1145/3404835.3462853	把检索、重排和停止策略统一到 any-hop QA 框架里，强调自适应迭代筛文档。	设定基线	collection=main; anchor baseline; iterative reranking
dense-and-path-selection-baselines	baseline	P1	2019	MRQA Workshop	Simple yet Effective Bridge Reasoning for Open-Domain Multi-Hop Question Answering	Wenhan Xiong et al.	https://aclanthology.org/D19-5806/	通过 bridge reasoner 先识别桥接实体，再据此找到真正的答案段落。	设定基线	collection=main; anchor baseline; bridge reasoning
dense-and-path-selection-baselines	baseline	P1	2019	ACL	Multi-Hop Paragraph Retrieval for Open-Domain Question Answering	Yair Feldman and Ran El-Yaniv	https://aclanthology.org/P19-1222/	提出早期的迭代式段落检索方法，把上一跳证据并入下一跳查询。	设定基线	collection=main; classic baseline
dense-and-path-selection-baselines	baseline	P2	2021	SustaiNLP@EMNLP	Combining Lexical and Dense Retrieval for Computationally Efficient Multi-hop Question Answering	Georgios Sidiropoulos et al.	https://aclanthology.org/2021.sustainlp-1.7/	证明 lexical+dense 混合检索能以更低算力逼近多跳 dense retrieval 的效果。	设定基线	collection=main; efficient hybrid baseline
dense-and-path-selection-baselines	baseline	P2	2021	EMNLP Findings	Dense Hierarchical Retrieval for Open-Domain Question Answering	Ye Liu et al.	https://aclanthology.org/2021.findings-emnlp.19/	提出文档级与段落级结合的层次化 dense retrieval，缓解切块表示失真。	设定基线	collection=main; hierarchical baseline
dense-and-path-selection-baselines	baseline	P2	2020	AAAI	Select, Answer and Explain: Interpretable Multi-hop Reading Comprehension over Multiple Documents	Ming Tu et al.	https://doi.org/10.1609/aaai.v34i05.6441	先选文档再预测答案与 supporting sentences，强调可解释的多文档选择。	设定基线	collection=main; interpretable selector baseline
dense-and-path-selection-baselines	baseline	P2	2019	ACL	Multi-hop Reading Comprehension through Question Decomposition and Rescoring	Sewon Min et al.	https://aclanthology.org/P19-1613/	通过子问题分解和重打分处理 bridge、comparison 和 intersection 等多跳模式。	设定基线	collection=main; DecompRC
hyperlink-navigation-and-graph-search-adjacent	adjacent	P0	2016	NeurIPS	End-to-End Goal-Driven Web Navigation	Rodrigo Nogueira and Kyunghyun Cho	https://papers.nips.cc/paper/6064-end-to-end-goal-driven-web-navigation	把网站表示为由页面和超链接组成的图，并按自然语言目标顺序导航。	证明自然链接价值	collection=main; anchor adjacent; Wikispeedia/WebNav
hyperlink-navigation-and-graph-search-adjacent	adjacent	P1	1999	Computer Networks	Focused crawling: A new approach to topic-specific Web resource discovery	Soumen Chakrabarti et al.	https://doi.org/10.1016/S1389-1286(99)00052-3	提出 focused crawling，在网页图上控制扩展前沿并优先探索主题相关链接。	证明自然链接价值	collection=main; anchor adjacent; focused crawling
hyperlink-navigation-and-graph-search-adjacent	adjacent	P1	2002	WWW	Topic-Sensitive PageRank	Taher H. Haveliwala	https://doi.org/10.1145/511446.511513	提出 query/topic-conditioned 的 PageRank，把静态链接重要性改造成主题相关的图先验。	证明自然链接价值	collection=main; anchor adjacent; graph prior
hyperlink-navigation-and-graph-search-adjacent	adjacent	P2	2019	IEEE Access	A Survey on Personalized PageRank Computation Algorithms	Sungchan Park et al.	https://doi.org/10.1109/ACCESS.2019.2952653	综述了 Personalized PageRank 的计算、近似和应用，为 query-conditioned graph search 提供算法背景。	证明自然链接价值	collection=main; PPR survey
hyperlink-navigation-and-graph-search-adjacent	adjacent	P2	2019	Information Retrieval Journal	Overcoming low-utility facets for complex answer retrieval	Sean MacAvaney et al.	https://doi.org/10.1007/s10791-018-9343-0	研究复杂答案检索中低效 facet 的匹配难题，并引入结构信号缓解表面词不匹配。	证明自然链接价值	collection=main; TREC CAR perspective
hyperlink-navigation-and-graph-search-adjacent	adjacent	P2	2008	Information Sciences	An ontology-based approach to learnable focused crawling	Sang-Wook Kim et al.	https://doi.org/10.1016/j.ins.2008.07.030	提出基于本体和可学习相关性函数的 focused crawling，展示链接语义可被结构化利用。	证明自然链接价值	collection=main; ontology-guided crawling
subgraph-selection-and-graph-retrieval-comparators	baseline	P0	2024	NeurIPS	HippoRAG: Neurobiologically Inspired Long-Term Memory for Large Language Models	Bernal Jiménez Gutiérrez et al.	https://proceedings.neurips.cc/paper_files/paper/2024/hash/6ddc001d07ca4f319af96a3024f6dbd1-Abstract-Conference.html	将知识图、PPR 和 LLM 结合成高效的图检索记忆框架，在多跳 QA 上表现强劲。	设定基线	collection=main; anchor graph baseline; PPR
subgraph-selection-and-graph-retrieval-comparators	baseline	P0	2025	arXiv	Knowledge Graph-Guided Retrieval Augmented Generation	Xiangrong Zhu et al.	https://arxiv.org/abs/2502.06864	先做语义检索，再利用知识图扩展和组织相关 chunk，形成更连贯的局部证据。	支撑路径/子图输出	collection=main; anchor graph baseline; KG2RAG
subgraph-selection-and-graph-retrieval-comparators	baseline	P1	2025	arXiv	PathRAG: Pruning Graph-based Retrieval Augmented Generation with Relational Paths	Boyu Chen et al.	https://arxiv.org/abs/2502.14902	从图中检索并剪枝关键 relational paths，再把路径组织成更适合推理的提示。	支撑路径/子图输出	collection=main; anchor graph baseline; path pruning
subgraph-selection-and-graph-retrieval-comparators	baseline	P1	2025	arXiv	Walk&Retrieve: Simple Yet Effective Zero-shot Retrieval-Augmented Generation via Knowledge Graph Walks	Martin Böckling et al.	https://arxiv.org/abs/2505.16849	通过 KG walks 完成轻量零样本检索，强调低延迟、可更新和无需任务特调。	设定基线	collection=main; graph-walk baseline
subgraph-selection-and-graph-retrieval-comparators	comparator	P2	2025	MAKE	SG-RAG MOT: SubGraph Retrieval Augmented Generation with Merging and Ordering Triplets for Knowledge Graph Multi-Hop Question Answering	Ahmmad O. M. Saleh et al.	https://doi.org/10.3390/make7030074	提出先取子图、再合并排序三元组的 KG multi-hop QA 框架。	支撑路径/子图输出	collection=main; subgraph retrieval comparator
subgraph-selection-and-graph-retrieval-comparators	comparator	P2	2026	arXiv	SentGraph: Hierarchical Sentence Graph for Multi-hop Retrieval-Augmented Question Answering	Junli Liang et al.	https://arxiv.org/abs/2601.03014	构建句子级层次图并在查询时做图引导证据选择和路径扩展。	支撑路径/子图输出	collection=main; sentence-graph comparator
light-rag-and-graphrag-comparators	comparator	P1	2025	arXiv	Retrieval-Augmented Generation with Graphs (GraphRAG)	Haoyu Han et al.	https://arxiv.org/abs/2501.00309	系统梳理 GraphRAG 的 query processor、retriever、organizer、generator 与数据源设计空间。	作为次级对照	collection=main; anchor survey
light-rag-and-graphrag-comparators	comparator	P1	2024	ICLR	RAPTOR: Recursive Abstractive Processing for Tree-Organized Retrieval	Parth Sarthi et al.	https://openreview.net/forum?id=GN921JHCRw	通过递归聚类和摘要构建树状索引，代表先建抽象层级再检索的路线。	作为次级对照	collection=main; tree-organized retrieval
light-rag-and-graphrag-comparators	comparator	P1	2025	EMNLP Findings	LightRAG: Simple and Fast Retrieval-Augmented Generation	Zirui Guo et al.	https://aclanthology.org/2025.findings-emnlp.568/	把图结构和双层检索引入 RAG，并强调增量更新与效率。	作为次级对照	collection=main; efficiency-oriented graph RAG
light-rag-and-graphrag-comparators	comparator	P1	2025	arXiv	When to use Graphs in RAG: A Comprehensive Analysis for Graph Retrieval-Augmented Generation	Zhishang Xiang et al.	https://arxiv.org/abs/2506.05690	提出 GraphRAG-Bench，系统回答图结构在何种任务与条件下优于 vanilla RAG。	作为次级对照	collection=main; benchmark-style comparator
optional-appendix-agentic-iterative-rag	comparator	P1	2023	ACL	Interleaving Retrieval with Chain-of-Thought Reasoning for Knowledge-Intensive Multi-Step Questions	Harsh Trivedi et al.	https://aclanthology.org/2023.acl-long.557/	提出 IRCoT，把 reasoning steps 与检索交错执行，代表强势的 query-time iterative retrieval 路线。	作为次级对照	collection=appendix; iterative RAG baseline
optional-appendix-agentic-iterative-rag	comparator	P2	2024	arXiv	Tree of Reviews: A Tree-based Dynamic Iterative Retrieval Framework for Multi-hop Question Answering	Li Jiapeng et al.	https://arxiv.org/abs/2404.14464	把单链检索扩展为树状分支，减少单一路径错误的级联风险。	作为次级对照	collection=appendix; tree retrieval baseline
optional-appendix-agentic-iterative-rag	comparator	P2	2024	arXiv	Generate-then-Ground in Retrieval-Augmented Generation for Multi-hop Question Answering	Zhengliang Shi et al.	https://arxiv.org/abs/2406.14891	先生成中间问答对再回到文档中核验，代表另一类 retrieval control 范式。	作为次级对照	collection=appendix; generate-then-ground baseline
optional-appendix-agentic-iterative-rag	comparator	P1	2024	NAACL	Adaptive-RAG: Learning to Adapt Retrieval-Augmented Large Language Models through Question Complexity	Soyeong Jeong et al.	https://aclanthology.org/2024.naacl-long.389/	根据问题复杂度在 no-retrieval、single-shot 与 iterative retrieval 之间自适应切换。	作为次级对照	collection=appendix; adaptive retrieval baseline
optional-appendix-graph-rag-variants	comparator	P2	2025	EMNLP	D-RAG: Differentiable Retrieval-Augmented Generation for Knowledge Graph Question Answering	Guangze Gao et al.	https://aclanthology.org/2025.emnlp-main.1793/	通过可微子图采样与提示构造联合训练 retriever 和 generator。	作为次级对照	collection=appendix; stronger graph-RAG variant
optional-appendix-graph-rag-variants	comparator	P2	2024	arXiv	StructRAG: Boosting Knowledge Intensive Reasoning of LLMs via Inference-time Hybrid Information Structurization	Zhuoqun Li et al.	https://arxiv.org/abs/2410.08815	在推理时把散乱证据重构为更适合任务的结构，再进行全局推理。	作为次级对照	collection=appendix; stronger graph-RAG variant
optional-appendix-adjacent-navigation	adjacent	P2	2021	arXiv	Tree-based Focused Web Crawling with Reinforcement Learning	Andreas Kontogiannis et al.	https://arxiv.org/abs/2112.07620	把 focused crawling 表述为树状网页图上的强化学习决策问题。	证明自然链接价值	collection=appendix; RL navigation adjacent
optional-appendix-adjacent-navigation	adjacent	P2	2024	Engineering Applications of Artificial Intelligence	Weakly supervised learning for an effective focused web crawler	Syed Hassan Raza et al.	https://doi.org/10.1016/j.engappai.2024.107944	用弱监督语义匹配学习网页与主题的相关性，以更稳地筛掉噪声链接。	证明自然链接价值	collection=appendix; modern focused crawling adjacent
argument-support-and-diagnostics	problem	P1	2024	arXiv	MultiHop-RAG: Benchmarking Retrieval-Augmented Generation for Multi-Hop Queries	Yixuan Tang and Yi Yang	https://arxiv.org/abs/2401.15391	系统表明现有 RAG 在多跳查询上的检索和推理都不令人满意，并给出 supporting evidence 标注。	定义问题	collection=argument-support; claim=vanilla-rag-inadequate
argument-support-and-diagnostics	comparator	P2	2025	arXiv	FAIR-RAG: Faithful Adaptive Iterative Refinement for Retrieval-Augmented Generation	Mohammad Aghajani Asl et al.	https://arxiv.org/abs/2510.22344	通过显式证据缺口审计驱动下一轮检索，强调复杂问题需要 evidence-driven refinement 而非一次性上下文拼接。	作为次级对照	collection=argument-support; claim=evidence-gap-analysis
argument-support-and-diagnostics	comparator	P2	2025	arXiv	PRISM: Agentic Retrieval with LLMs for Multi-Hop Question Answering	Md Mahadi Hasan Nahid and Davood Rafiei	https://arxiv.org/abs/2510.14278	通过精度导向的选择器和召回导向的补充器迭代取得紧凑但完整的证据集合。	作为次级对照	collection=argument-support; claim=compact-evidence-selection
argument-support-and-diagnostics	comparator	P2	2025	arXiv	Optimizing Question Semantic Space for Dynamic Retrieval-Augmented Multi-hop Question Answering	Linhao Ye et al.	https://arxiv.org/abs/2506.00491	指出一跳式 retrieve-and-read 存在语义错配和子问题依赖成本，并用动态检索修正。	作为次级对照	collection=argument-support; claim=semantic-mismatch
argument-support-and-diagnostics	comparator	P2	2025	arXiv	Vendi-RAG: Adaptively Trading-Off Diversity And Quality Significantly Improves Retrieval Augmented Generation With LLMs	Mohammad Reza Rezaei and Adji Bousso Dieng	https://arxiv.org/abs/2502.11228	证明多跳检索中只看相关性不够，显式控制多样性可以提升证据覆盖与最终效果。	作为次级对照	collection=argument-support; claim=diversity-matters
argument-support-and-diagnostics	comparator	P2	2025	arXiv	Replace, Don't Expand: Mitigating Context Dilution in Multi-Hop RAG via Fixed-Budget Evidence Assembly	Moshe Lahmy and Roi Yozevitch	https://arxiv.org/abs/2512.10787	指出一味扩 context 会导致 context dilution，并证明固定预算下的 evidence replacement 更有效。	作为次级对照	collection=argument-support; claim=fixed-budget-evidence-assembly
argument-support-and-diagnostics	comparator	P2	2026	arXiv	When Iterative RAG Beats Ideal Evidence: A Diagnostic Study in Scientific Multi-hop Question Answering	Mahdi Astaraki et al.	https://arxiv.org/abs/2601.19827	诊断性实验显示 staged retrieval 在某些多跳情形下甚至能优于一次性喂入理想证据。	作为次级对照	collection=argument-support; claim=staged-beats-static
argument-support-and-diagnostics	adjacent	P2	2018	arXiv	Exploring Hierarchy-Aware Inverse Reinforcement Learning	Chris Cundy and Daniel Filan	https://arxiv.org/abs/1807.05037	利用层次化逆强化学习显著提升对 Wikispeedia 玩家目标的预测，说明 hyperlink navigation 存在可学习的层次规划结构。	证明自然链接价值	collection=argument-support; claim=human-hyperlink-navigation
